x_1,x_2
-3.995781733766158,-5.632142239917384
-3.496130005867795,-5.124705835693992
3.630808665788054,8.009889183364749
3.7556964092526117,6.889919791568861
-1.9459304159173734,-3.323225223483036
-1.2251315485249854,-3.630097875451288
1.9832650862398649,4.559602499243714
4.0586505120204395,8.082305822728255
2.840010405538108,6.103912248183409
-3.7800770168848006,-8.056277752287823
-1.1689964002125004,-0.8113643233290289
-6.495688425233258,-11.363543868680193
-5.276065222511998,-7.772271643920705
-4.901299034684161,-7.8997134892778815
-1.9388514392928455,-1.6151657482493196
-2.5969306624840667,-3.3406002030487008
-0.6435090483028264,0.21505680614200462
-1.4884895686536632,-2.446476098241918
4.7079862582285195,8.133924546730967
-4.3535631169012445,-6.045343063327217
1.8775568269336846,3.105114081242113
2.4775092507048053,5.345410779288246
-2.259892667690896,-3.9516936539566125
-6.488715130917826,-9.86340503707115
-3.1961555147242016,-4.7167453896996925
-4.217114825823415,-5.571903332128837
5.1304666656787274,7.4812346987833545
6.598726826683685,11.388856756122479
-7.109850416746855,-11.672078035364159
-0.910274930833229,-0.32765963791992253
-0.4559007918588923,-1.6409519603859188
-1.9076859000691866,-4.225069013135779
2.7898186869224735,5.9097815933087805
-2.038634803451812,-4.681615059734955
3.536396009536516,5.694274051436092
2.719682479890319,5.32739603598448
-3.6625539422262974,-6.121500462289521
-4.931751356957343,-7.403223721064747
4.325848902081723,8.031557667918198
-2.544910778795276,-2.7155464733105505
-2.0968234391941056,-3.7747923625827404
5.457411984533223,8.187244652993096
0.25818544422752215,-0.6844003856574329
-0.2638631546684074,-2.254109382807008
0.526039985469852,1.0459285579247948
5.334068950727507,9.59687675117442
5.700593475321093,8.64265995515734
0.918686543304563,3.394586130191141
-1.554856781395384,-3.6130413300678708
-6.305269220106029,-11.741532729454079
1.8258284508071798,2.985280354286091
-2.2450635051168772,-3.0935056574618764
-3.577780376585039,-4.8194857522750825
-3.424701066338268,-5.973209126137639
-1.9643282829173931,-3.014519558746859
-3.250465878138613,-4.651616831688147
